Molecule Name,SMILES
CVD-0012746,Cc1ccc(cc1)C1CC(=NN1C(=O)CCl)c1ccccc1
CVD-0012745,Fc1ccc(\C=C\C(=O)N[C@@H](COC(=O)c2ccccc2)C(=O)NC2CCCCC2)cc1
CVD-0012744,O[C@H]1[C@H]2N(C[C@H]3O[C@@H]4CC[C@@H](C4)N3C2=O)C[C@H](C(=O)NCc2c(F)cc(F)cc2F)C1=O
CVD-0012743,Oc1c2C(=O)N3C4CCC(C4)OC3Cn2cc(C(=O)NCc2c(F)cc(F)cc2F)c1=O
CVD-0012742,Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(Oc2cccnc2)c1
CVD-0012741,Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(Oc2cccc(=O)[nH]2)c1
CVD-0012740,Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(OC2CCC(=O)N2)c1
CVD-0012739,OC(=O)c1ccc(c(c1)C(O)=O)-c1c-2cc(F)c(=O)cc-2oc2cc(O)c(F)cc12
CVD-0012738,Nc1ccc(\N=N\c2ccccc2)c(N)n1
CVD-0012737,Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O
CVD-0012736,OC(=O)c1ccc(c(Cl)c1)-c1ccc2cc(O)ccc2n1
CVD-0012735,OC(=O)CCN1C(=S)S\C(=C/c2ccc(o2)-c2ccc(Cl)cc2)C1=O
CVD-0012734,Oc1c(Br)cc(\C=N\NC(=O)c2cccc(Br)c2)c(O)c1Br
CVD-0012733,OC1C(OC(=C)C(O)=O)C=CC=C1C(O)=O
CVD-0012732,Cc1ccc2n(cnc2c1)C1OC(COP(O)(O)=O)C(O)C1O
CVD-0012731,CC(Nc1ccc2-c3nc(cn3CCOc2c1)N1C(COC1=O)C(F)F)C(N)=O
CVD-0012730,OC(=O)Cc1ccc2C(=O)c3cccc(O)c3C(=O)c2c1O
CVD-0012729,Oc1cccc(c1O)-c1ccccc1Cl
CVD-0012728,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
CVD-0012727,CC1CCC2CC(CC(O)(O2)C2CSC(=O)N2)OC(=O)\C=C(C)/CC\C=C/C=C\1
CVD-0012726,CC(C)(C)c1cc(c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O)C(C)(C)C
CVD-0012725,COc1cc(N)c(OC)c(CCOC(=O)c2cc(Cl)c(O)cc2O)c1OC
CVD-0012724,Oc1ccc(CCC(=O)c2c(O)cc(O)cc2O)cc1
CVD-0012723,OC(=O)c1cc(O)c2C(=O)c3c(O)cccc3C(=O)c2c1
CVD-0012722,CCOc1c2C(OC(=O)c2c(N)c(OCC)c1OCC)C1N(C)CCc2cc3OCOc3c(OC)c12
CVD-0012721,OP(O)(=O)C(F)(F)c1ccc2ccc(cc2c1)C(F)(F)P(O)(O)=O
CVD-0012720,COc1cc2OCC3Oc4c5CC(Oc5ccc4C(=O)C3c2cc1OC)C(C)=C
CVD-0012719,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
CVD-0012718,COc1ccc(C(=O)c2ccccc2O)c(O)c1
CVD-0012717,OS(=O)(=O)c1ccc2cc(ccc2c1)S(O)(=O)=O
CVD-0012716,Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1Nc1ncccc1-c1ccncn1
CVD-0012715,CC1CC2OC2\C=C/C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1
CVD-0012714,COc1cc2CCC(NC(C)=O)c3cc(=O)c(O)ccc3-c2c(OC)c1OC
CVD-0012713,Cc1ccc(cc1Nc1cncc(c1)C(N)=O)C(=O)Nc1cccc(c1)C(F)(F)F
CVD-0012712,CCCC1CC(N(C)C1)C(=O)NC(C(C)Cl)C1OC(SC)C(O)C(O)C1O
CVD-0012711,CN(C)c1ccc(cc1)C(=C1C=CC(C=C1)=[N+](C)C)c1ccc(cc1)N(C)C
CVD-0012710,NC(=N)c1ccc(CN2CCN(CC2=O)S(=O)(=O)c2cc3ccc(Cl)cc3s2)cc1
CVD-0012709,NC(=N)c1cccc(CN2CCN(CC2=O)S(=O)(=O)c2cc3ccc(Cl)cc3s2)c1
CVD-0012708,CS(=O)(=O)c1ccc(cc1)C(O)C(CF)NC(=O)C(Cl)Cl
CVD-0012707,Nc1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl
CVD-0012706,CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl
CVD-0012705,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1
CVD-0012704,COc1ccc2[nH]cc(CCN(C)C)c2c1
CVD-0012703,OC(=O)CNC(=O)Cc1c[nH]c2ccccc12
CVD-0012702,COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1
CVD-0012701,NC(CO)Cc1c[nH]c2ccccc12
CVD-0012700,CCN(CC)C(=O)NC1CN(C)C2Cc3c[nH]c4cccc(C2=C1)c34
CVD-0012699,COc1ccc2c3CCN=C(C)c3[nH]c2c1
CVD-0012698,CC(Cc1ccsc1)NC(=O)NCC(Cc1ccc(O)cc1)N(C)C
CVD-0012697,NC(Cc1c[nH]c2ncccc12)C(O)=O
CVD-0012696,SCCC(=O)N1CCc2c(C1)[nH]c1ccccc21
CVD-0012695,NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21
CVD-0012694,COc1cccc(Cc2c[nH]c3ncccc23)c1
CVD-0012693,OC(=O)CC(NC(=O)Cc1c[nH]c2ccccc12)C(O)=O
CVD-0012692,CCN(CC)C(=O)C1CN(C)C2Cc3c[nH]c4cccc(C2=C1)c34
